"Code département","Département","Code circonscription","Circonscription","Numéro de panneau","Libellé abrégé de liste","Libellé de la liste","Code nuance de liste","Nuance de liste","Tête de liste","Ordre","Sexe","Nom sur le bulletin de vote","Prénom sur le bulletin de vote","Nationalité","Code personnalité","CC"
"37","Indre-et-Loire","37001","Abilly",1.0,"ABILLY CONTINUE D'AVANCER, ENSEMBLE !","ABILLY CONTINUE D'AVANCER, ENSEMBLE !","","","OUI",1.0,"M","DUJON","Christophe","Française","","OUI"
"37","Indre-et-Loire","37001","Abilly",2.0,"BIEN VIVRE ENSEMBLE ABILLY","BIEN VIVRE ENSEMBLE A ABILLY","","","OUI",1.0,"M","ROBIN","Brice","Française","","OUI"
"37","Indre-et-Loire","37002","Ambillou",1.0,"UN NOUVEL ELAN POUR AMBILLOU","UN NOUVEL ELAN POUR AMBILLOU","","","OUI",1.0,"M","BETTE","Thierry","Française","","OUI"
"37","Indre-et-Loire","37002","Ambillou",2.0,"Ensemble, construisons l'avenir d'Ambillou !","Ensemble, construisons l'avenir d'Ambillou !","","","OUI",1.0,"M","TEIXEIRA","Garry","Française","","OUI"
"37","Indre-et-Loire","37003","Amboise",1.0,"Amboise, notre ville, notre avenir","Amboise, notre ville, notre avenir","LDVD","Liste divers droite","OUI",1.0,"M","MAINTIER","Maxime","Française","","OUI"
"37","Indre-et-Loire","37003","Amboise",2.0,"Rassemblement pour Amboise !","RASSEMBLEMENT POUR AMBOISE !","LRN","Liste du Rassemblement National","OUI",1.0,"M","POINTLANE","Joffrey","Française","","OUI"
"37","Indre-et-Loire","37003","Amboise",3.0,"Partageons nos forces, construisons l'avenir","Partageons nos forces, construisons l'avenir !","LDVG","Liste divers gauche","OUI",1.0,"M","RAVIER","Brice","Française","","OUI"
"37","Indre-et-Loire","37004","Anché",1.0,"Bien vivre à Anché","Ensemble, bien vivre à Anché","","","OUI",1.0,"M","RENNETAUD","Patrice","Française","",""
"37","Indre-et-Loire","37005","Antogny-le-Tillac",1.0,"Ensemble, oeuvrons pour Antogny le Tillac","Ensemble, oeuvrons pour Antogny le Tillac","","","OUI",1.0,"M","THIVELLIER","Didier","Française","",""
"37","Indre-et-Loire","37006","Artannes-sur-Indre",1.0,"AGIR ENSEMBLE POUR ARTANNES","AGIR ENSEMBLE POUR ARTANNES","","","OUI",1.0,"M","DUFAY","Emmanuel","Française","","OUI"
"37","Indre-et-Loire","37006","Artannes-sur-Indre",2.0,"ARTANNES & VOUS","ARTANNES & VOUS","","","OUI",1.0,"M","POITOU","Bertrand","Française","","OUI"
"37","Indre-et-Loire","37007","Assay",1.0,"Ensemble pour Assay","Ensemble pour Assay","","","OUI",1.0,"M","TERRIEN","Guy","Française","",""
"37","Indre-et-Loire","37008","Athée-sur-Cher",1.0,"UNIS POUR ATHEE !","UNIS POUR ATHEE !","","","OUI",1.0,"F","BETAILLOULOUX","Adeline","Française","","OUI"
"37","Indre-et-Loire","37009","Autrèche",1.0,"AUTRECHE AVENIR","AUTRECHE AVENIR","","","OUI",1.0,"M","LI WOUNG KI","Alban","Française","",""
"37","Indre-et-Loire","37009","Autrèche",2.0,"PROCHE ET SOLIDAIRE","PROCHE ET SOLIDAIRE","","","OUI",1.0,"F","DEFEINGS","Jocelyne","Française","",""
"37","Indre-et-Loire","37010","Auzouer-en-Touraine",1.0,"DYNAMISER, AGIR ET BIEN VIVRE ENSEMBLE","DYNAMISER, AGIR ETBIEN VIVRE ENSEMBLE","","","OUI",1.0,"M","HOUZÉ","Fabien","Française","","OUI"
"37","Indre-et-Loire","37010","Auzouer-en-Touraine",2.0,"équipe engagée, avenir partagé","Une équipe engagée, un avenir partagé","","","OUI",1.0,"M","LANDRY","Eric","Française","","OUI"
"37","Indre-et-Loire","37011","Avoine",1.0,"AVOINE, l'Energie avec vous","AVOINE, l'Energie avec vous","","","OUI",1.0,"M","LALOUETTE","Laurent","Française","","OUI"
"37","Indre-et-Loire","37012","Avon-les-Roches",1.0,"TOUS UNIS POUR AVON LES ROCHES","TOUS UNIS POUR AVON LES ROCHES","","","OUI",1.0,"M","BLANCHARD","Philippe","Française","",""
"37","Indre-et-Loire","37013","Avrillé-les-Ponceaux",1.0,"AVEC VOUS POUR AVRILLE","AVEC VOUS POUR AVRILLE","","","OUI",1.0,"M","BORDEAU","Jean-Jack","Française","",""
