"CODGEO","Nb Pharmacies et parfumerie","Dynamique Entrepreneuriale","Dynamique Entrepreneuriale Service et Commerce","Synergie Médicale COMMUNE","Orientation Economique","Indice Fiscal Partiel","Score Fiscal","Indice Evasion Client","Score Evasion Client","Indice Synergie Médicale","Score Synergie Médicale","SEG Croissance POP","LIBGEO","REG","DEP","Nb Omnipraticiens BV","Nb Infirmiers Libéraux BV","Nb dentistes Libéraux BV","Nb pharmaciens Libéraux BV","Densité Médicale BV","Score équipement de santé BV","Indice Démographique","Score Démographique","Indice Ménages","Score Ménages","Population","Evolution Population","Evolution Pop %","Nb Ménages","Nb Résidences Principales","Nb propriétaire","Nb Logement","Nb Résidences Secondaires","Nb Log Vacants","Nb Occupants Résidence Principale","Nb Femme","Nb Homme","Nb Mineurs","Nb Majeurs","Nb Etudiants","Nb Entreprises Secteur Services","Nb Entreprises Secteur Commerce","Nb Entreprises Secteur Construction","Nb Entreprises Secteur Industrie","Nb Création Enteprises","Nb Création Industrielles","Nb Création Construction","Nb Création Commerces","Nb Création Services","Moyenne Revenus Fiscaux Départementaux","Moyenne Revenus Fiscaux Régionaux","Dep Moyenne Salaires Horaires","Dep Moyenne Salaires Cadre Horaires","Dep Moyenne Salaires Prof Intermédiaire Horaires","Dep Moyenne Salaires Employé Horaires","Dep Moyenne Salaires Ouvrié Horaires","Reg Moyenne Salaires Horaires","Reg Moyenne Salaires Cadre Horaires","Reg Moyenne Salaires Prof Intermédiaire Horaires","Reg Moyenne Salaires Employé Horaires","Reg Moyenne Salaires Ouvrié Horaires","Valeur ajoutée régionale","Urbanité Ruralité","Score Urbanité","Nb Atifs","Nb Actifs Salariés","Nb Actifs Non Salariés","Nb Logement Secondaire et Occasionnel","Nb Hotel","Capacité Hotel","Nb Camping","Capacité Camping","Dynamique Démographique BV","Taux étudiants","Taux Propriété","Dynamique Démographique INSEE","Capacité Fisc","Capacité Fiscale","Moyenne Revnus fiscaux","Taux Evasion Client","Nb Education, santé, action sociale","Nb Services personnels et domestiques","Nb Santé, action sociale","Nb Industries des biens intermédiaires","Nb de Commerce","Nb de Services aux particuliers","Nb institution de Education, santé, action sociale, administration","PIB Régionnal","SEG Environnement Démographique Obsolète","Score Croissance Population","Score Croissance Entrepreneuriale","Score VA Région","Score PIB","Environnement Démographique","Fidélité","SYN MEDICAL","Seg Cap Fiscale","Seg Dyn Entre","DYN SetC","CP"
"37001",0.0,61.0,37.0,54,"Bassin Industriel","109,47356","75,88235","124,22775","0,05311","54,26864","0,05472","en croissance démographique","Abilly","24","37",7,2,3,3,"0,060341938",2,"67,42434","0,05203","62,38542","0,03727",1106,-120,-10,414,414,318,527,69,44,981,1142,1044,1276,910,46,15.0,14.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com < 10 m habts","25",356.0,278.0,78.0,69.0,0.0,0.0,1.0,33.0,"4.Déclin par déficit naturel et migratoire",0,60,13,92,92,"11551,5",1,2.0,3.0,6.0,2916,3652,1226,6903,63457,"Zone rurale en déclin démographique","67,21311","0","12,30681","11,54726","Bassin Industriel en croissance démographique","Pop Mobile","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37002",0.0,87.0,47.0,53,"Bassin Résidentiel","109,47356","75,88235","0","0","53,26367","0,05339","en croissance démographique","Ambillou","24","37",6,2,3,3,"0,075762655",3,"79,25103","0,06115","71,12541","0,04249",1300,52,4,472,472,309,537,43,22,1253,1260,1262,1588,934,86,22.0,15.0,20.0,10.0,1.0,0.0,0.0,0.0,1.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale < 2 000 m habts","0",519.0,449.0,70.0,43.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,57,-6,97,97,"11551,5",0,3.0,1.0,8.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","72,95082","0,00173","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37003",0.0,552.0,780.0,263,"Bassin Résidentiel","109,47356","75,88235","1863,4162","0,7966","264,30839","0,33368","en croissance démographique","Amboise","24","37",29,18,14,14,"0,107609789",3,"698,68925","0,53913","717,13101","0,42839",11461,166,1,4759,4775,2250,5318,188,355,10950,11786,10546,13449,8883,821,320.0,286.0,49.0,93.0,56.0,3.0,5.0,17.0,31.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com < 50 m habts","37,5",4108.0,3677.0,431.0,188.0,16.0,449.0,1.0,400.0,"1.Accroissement par excédent naturel et migratoire",0,42,-13,209,209,"11551,5",15,108.0,35.0,119.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","71,72131","0,2487","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Mobile","Forte Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Bonne Dynamique Entreprise Serv et Com","37"
"37004",0.0,31.0,12.0,71,"Bassin Résidentiel","109,47356","75,88235","0","0","71,35322","0,07741","en croissance démographique","Anché","24","37",24,24,8,8,"0,100569896",3,"22,25125","0,01717","24,11031","0,0144",365,-11,-3,160,159,118,201,30,12,364,364,354,418,300,20,8.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale < 2 000 m habts","0",139.0,106.0,33.0,30.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,58,1,86,86,"11551,5",0,1.0,0.0,1.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","70,08197","0,00173","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37005",0.0,31.0,11.0,41,"Bassin Industriel","109,47356","75,88235","0","0","41,20397","0,03737","en croissance démographique","Antogny le Tillac","24","37",4,5,2,2,"0,080455917",1,"27,25016","0,02103","29,23375","0,01746",447,-16,-3,194,194,158,252,55,3,447,440,438,505,373,29,3.0,6.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale < 2 000 m habts","0",167.0,138.0,29.0,55.0,0.0,0.0,0.0,0.0,"2.Accroissement par excédent naturel",0,62,1,86,86,"11551,5",0,0.0,0.0,0.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","70,08197","0,00519","12,30681","11,54726","Bassin Industriel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37006",0.0,84.0,78.0,83,"Bassin Industriel","109,47356","75,88235","0","0","83,41291","0,09343","en croissance démographique","Artannes-sur-Indre","24","37",9,8,4,4,"0,086490111",3,"133,20269","0,10278","120,85292","0,07219",2185,90,4,802,801,657,889,42,46,2174,2114,2146,2666,1594,174,33.0,28.0,14.0,7.0,9.0,1.0,1.0,5.0,2.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale > 2 000 habts","0",926.0,801.0,125.0,42.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,73,-10,110,110,"11551,5",0,10.0,5.0,12.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","72,95082","0,06023","12,30681","11,54726","Bassin Industriel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37007",0.0,27.0,7.0,48,"Bassin Résidentiel","109,47356","75,88235","0","0","48,23879","0,04671","en croissance démographique","Assay","24","37",7,5,3,3,"0,078444519",2,"10,60745","0,00818","10,54826","0,0063",174,2,1,70,70,56,92,13,9,174,158,184,205,137,16,4.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale < 2 000 m habts","0",73.0,48.0,25.0,13.0,0.0,0.0,0.0,0.0,"4.Déclin par déficit naturel et migratoire",0,60,0,84,84,"11551,5",0,1.0,1.0,0.0,2916,3652,1226,6903,63457,"Zone rurale en déclin démographique","71,72131","0,00173","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37008",0.0,103.0,58.0,69,"Bassin Industriel","109,47356","75,88235","0","0","69,34327","0,07474","en croissance démographique","Athée-sur-Cher","24","37",13,16,4,4,"0,085149179",4,"122,90005","0,09483","105,63329","0,0631",2016,-3,0,701,700,586,791,67,24,1931,2024,1874,2397,1501,156,23.0,22.0,20.0,18.0,10.0,3.0,2.0,2.0,3.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale > 2 000 habts","0",837.0,727.0,110.0,67.0,0.0,0.0,0.0,0.0,"3.Accroissement par excédent migratoire",0,74,0,107,107,"11551,5",0,3.0,1.0,5.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","71,31148","0,03516","12,30681","11,54726","Bassin Industriel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Moyenne dynamique","Faible Dynamique Serv et Com","37"
"37009",0.0,26.0,15.0,49,"Bassin Résidentiel","109,47356","75,88235","124,22775","0,05311","49,24377","0,04805","en croissance démographique","Autrèche","24","37",14,1,6,6,"0,055983909",1,"24,38493","0,01882","20,49376","0,01224",400,17,4,136,136,88,157,17,4,379,388,394,490,292,25,5.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com rurale < 2 000 m habts","0",159.0,130.0,29.0,17.0,0.0,0.0,1.0,33.0,"1.Accroissement par excédent naturel et migratoire",0,56,-1,86,86,"11551,5",1,1.0,0.0,1.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","72,95082","0,00346","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Mobile","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37010",0.0,49.0,20.0,55,"Bassin Résidentiel","109,47356","75,88235","0","0","55,27362","0,05606","en croissance démographique","Auzouer-en-Touraine","24","37",14,1,6,6,"0,055983909",1,"82,96973","0,06402","66,60473","0,03979",1361,72,5,442,441,357,507,35,31,1230,1342,1322,1648,1016,108,9.0,7.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com < 10 m habts","25",531.0,466.0,65.0,35.0,0.0,0.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,70,-8,98,98,"11551,5",0,0.0,2.0,0.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","73,36066","0,01066","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Sédentaire","Faible Synergie Médicale","Fiscalité moyenne","Faible dynamique","Faible Dynamique Serv et Com","37"
"37011",0.0,143.0,109.0,102,"Bassin Résidentiel","109,47356","75,88235","0","0","102,50744","0,11879","en croissance démographique","Avoine","24","37",24,24,8,8,"0,100569896",3,"108,39102","0,08364","100,96192","0,06031",1778,91,5,670,671,389,753,41,41,1754,1756,1710,2177,1289,112,61.0,25.0,17.0,36.0,6.0,0.0,0.0,3.0,3.0,11872,11231,"11,67959184","22,02040816","12,6877551","8,773469388","9,383673469","11,21435644","21,27227723","12,59950495","8,796534653","9,172772277","34878,30512","Com < 10 m habts","12,5",670.0,623.0,47.0,41.0,1.0,10.0,0.0,0.0,"1.Accroissement par excédent naturel et migratoire",0,51,-10,102,102,"11551,5",0,18.0,7.0,18.0,2916,3652,1226,6903,63457,"Zone rurale en croissance démographique","73,36066","0,03717","12,30681","11,54726","Bassin Résidentiel en croissance démographique","Pop Sédentaire","Synergie Médicale","Fiscalité moyenne","Dynamique Economique","Dynamique Serv et Com","37"
